fannkuch-redux ; 221.581787109375000000, 214.535644531250000000,  ,  ,  4251.96 
fannkuch-redux ; 246.433227539062500000, 236.882873535156250000,  ,  ,  4512 
fannkuch-redux ; 233.881958007812500000, 225.753356933593750000,  ,  ,  4333.18 
fannkuch-redux ; 227.554321289062500000, 220.384399414062500000,  ,  ,  4241.92 
fannkuch-redux ; 224.696350097656250000, 217.520385742187500000,  ,  ,  4238.13 
fannkuch-redux ; 232.284362792968750000, 224.070434570312500000,  ,  ,  4252.06 
fannkuch-redux ; 240.005615234375000000, 231.918762207031250000,  ,  ,  4320.36 
fannkuch-redux ; 252.576171875000000000, 242.771667480468750000,  ,  ,  4500.92 
fannkuch-redux ; 237.629028320312500000, 229.910949707031250000,  ,  ,  4295.31 
fannkuch-redux ; 238.676147460937500000, 230.798889160156250000,  ,  ,  4357.18 
binary-trees ; 43.321472167968750000, 41.301757812500000000,  ,  ,  839.308 
binary-trees ; 41.716796875000000000, 39.685058593750000000,  ,  ,  854.533 
binary-trees ; 43.060180664062500000, 41.141601562500000000,  ,  ,  858.733 
binary-trees ; 41.716430664062500000, 39.740966796875000000,  ,  ,  842.581 
binary-trees ; 41.633239746093750000, 39.641479492187500000,  ,  ,  830.557 
binary-trees ; 42.182128906250000000, 40.225830078125000000,  ,  ,  830.927 
binary-trees ; 40.753540039062500000, 38.793457031250000000,  ,  ,  831.379 
binary-trees ; 41.627990722656250000, 39.789794921875000000,  ,  ,  835.516 
binary-trees ; 39.763916015625000000, 37.841918945312500000,  ,  ,  844.679 
binary-trees ; 41.214660644531250000, 39.164001464843750000,  ,  ,  848.994 
mandelbrot ; 39.495544433593750000, 38.209838867187500000,  ,  ,  758.268 
mandelbrot ; 41.589050292968750000, 40.258483886718750000,  ,  ,  756.699 
mandelbrot ; 41.841308593750000000, 40.460144042968750000,  ,  ,  757.469 
mandelbrot ; 42.917358398437500000, 41.400817871093750000,  ,  ,  760.48 
mandelbrot ; 45.046691894531250000, 42.675903320312500000,  ,  ,  768.032 
mandelbrot ; 42.913696289062500000, 41.544860839843750000,  ,  ,  761.992 
mandelbrot ; 42.772033691406250000, 41.344177246093750000,  ,  ,  763.195 
mandelbrot ; 41.661804199218750000, 40.233398437500000000,  ,  ,  765.88 
mandelbrot ; 40.307312011718750000, 39.001953125000000000,  ,  ,  754.854 
mandelbrot ; 40.838195800781250000, 39.447143554687500000,  ,  ,  759.37 
pidigits ; 14.540161132812500000, 13.540710449218750000,  ,  ,  541.772 
pidigits ; 15.520996093750000000, 14.152648925781250000,  ,  ,  537.573 
pidigits ; 14.833862304687500000, 13.764770507812500000,  ,  ,  540.696 
pidigits ; 15.005981445312500000, 13.928649902343750000,  ,  ,  545.71 
pidigits ; 14.951965332031250000, 13.811950683593750000,  ,  ,  541.239 
pidigits ; 14.195312500000000000, 13.289001464843750000,  ,  ,  524.144 
pidigits ; 14.318359375000000000, 13.422058105468750000,  ,  ,  525.66 
pidigits ; 16.510192871093750000, 15.568969726562500000,  ,  ,  531.954 
pidigits ; 15.799804687500000000, 14.714477539062500000,  ,  ,  541.514 
pidigits ; 15.392150878906250000, 14.372802734375000000,  ,  ,  536.525 
spectral-norm ; 11.715820312500000000, 11.353515625000000000,  ,  ,  206.747 
spectral-norm ; 11.598876953125000000, 11.214416503906250000,  ,  ,  201.781 
spectral-norm ; 12.170715332031250000, 11.727905273437500000,  ,  ,  211.74 
spectral-norm ; 11.413269042968750000, 11.066467285156250000,  ,  ,  197.672 
spectral-norm ; 11.314208984375000000, 11.027770996093750000,  ,  ,  196.73 
spectral-norm ; 11.909912109375000000, 11.531311035156250000,  ,  ,  207.637 
spectral-norm ; 11.388244628906250000, 11.048889160156250000,  ,  ,  196.823 
spectral-norm ; 13.096740722656250000, 12.716552734375000000,  ,  ,  236.553 
spectral-norm ; 17.254150390625000000, 16.653076171875000000,  ,  ,  328.795 
spectral-norm ; 14.118713378906250000, 13.637573242187500000,  ,  ,  250.955 
