fannkuch-redux ; 11128.334777832031250000, 10742.462768554687500000,  ,  ,  210224 
fannkuch-redux ; 9765.915466308593750000, 9392.664611816406250000,  ,  ,  218069 
fannkuch-redux ; 9741.929016113281250000, 9371.667175292968750000,  ,  ,  216189 
fannkuch-redux ; 9718.646057128906250000, 9348.002319335937500000,  ,  ,  216308 
fannkuch-redux ; 9709.932434082031250000, 9339.352294921875000000,  ,  ,  216162 
fannkuch-redux ; 9744.960327148437500000, 9371.998962402343750000,  ,  ,  217462 
fannkuch-redux ; 9739.804382324218750000, 9368.348022460937500000,  ,  ,  216523 
fannkuch-redux ; 9764.066711425781250000, 9391.458435058593750000,  ,  ,  217246 
fannkuch-redux ; 9730.403320312500000000, 9358.709716796875000000,  ,  ,  216746 
fannkuch-redux ; -252430.041564941406250000, 9343.533691406250000000,  ,  ,  216010 
binary-trees ; 1316.196411132812500000, 1269.567199707031250000,  ,  ,  22311.7 
binary-trees ; 1302.354858398437500000, 1258.017150878906250000,  ,  ,  22143.7 
binary-trees ; 1309.435363769531250000, 1264.161010742187500000,  ,  ,  22253.5 
binary-trees ; 1307.130065917968750000, 1261.151794433593750000,  ,  ,  22527 
binary-trees ; 1277.205505371093750000, 1231.122253417968750000,  ,  ,  22508.8 
binary-trees ; 1288.752441406250000000, 1242.167358398437500000,  ,  ,  22762.6 
binary-trees ; 1273.035522460937500000, 1226.630126953125000000,  ,  ,  22643.2 
binary-trees ; 1271.544372558593750000, 1224.932495117187500000,  ,  ,  22744.5 
binary-trees ; 1258.575134277343750000, 1212.091430664062500000,  ,  ,  22608.7 
binary-trees ; 1255.086791992187500000, 1208.536560058593750000,  ,  ,  22602.9 
mandelbrot ; 6249.859924316406250000, -256096.814147949218750000,  ,  ,  117563 
mandelbrot ; 5473.143005371093750000, 5266.236083984375000000,  ,  ,  121842 
mandelbrot ; 5313.523620605468750000, 5111.714599609375000000,  ,  ,  118290 
mandelbrot ; 5326.302185058593750000, 5123.644287109375000000,  ,  ,  118568 
mandelbrot ; 5329.263122558593750000, 5126.132934570312500000,  ,  ,  118638 
mandelbrot ; 5276.080566406250000000, 5074.869323730468750000,  ,  ,  117454 
mandelbrot ; 5355.217285156250000000, 5150.731506347656250000,  ,  ,  119217 
mandelbrot ; 5273.030029296875000000, 5071.499572753906250000,  ,  ,  117383 
mandelbrot ; 5178.301025390625000000, 4980.259521484375000000,  ,  ,  115276 
mandelbrot ; 5331.790832519531250000, 5127.798095703125000000,  ,  ,  118693 
pidigits ; 9.038574218750000000, 8.439697265625000000,  ,  ,  368.04 
pidigits ; 2.042602539062500000, 1.901062011718750000,  ,  ,  82.824 
pidigits ; 1.998474121093750000, 1.867004394531250000,  ,  ,  82.155 
pidigits ; 2.022094726562500000, 1.895507812500000000,  ,  ,  82.549 
pidigits ; 2.319946289062500000, 2.164062500000000000,  ,  ,  89.769 
pidigits ; 1.912231445312500000, 1.772521972656250000,  ,  ,  81.836 
pidigits ; 2.000488281250000000, 1.860839843750000000,  ,  ,  82.84 
pidigits ; 2.337524414062500000, 2.196533203125000000,  ,  ,  88.257 
pidigits ; 2.303100585937500000, 2.158325195312500000,  ,  ,  86.983 
pidigits ; 2.139404296875000000, 2.006530761718750000,  ,  ,  85.505 
spectral-norm ; 3953.996520996093750000, 3847.727905273437500000,  ,  ,  59534.7 
spectral-norm ; 3859.458923339843750000, 3758.813110351562500000,  ,  ,  59161.1 
spectral-norm ; 4319.337890625000000000, 4181.245483398437500000,  ,  ,  69912.4 
spectral-norm ; 3959.449401855468750000, 3833.754760742187500000,  ,  ,  64288.8 
spectral-norm ; 3915.745178222656250000, 3797.870056152343750000,  ,  ,  63780.4 
spectral-norm ; 3712.387573242187500000, 3604.522705078125000000,  ,  ,  61433.6 
spectral-norm ; 4045.182434082031250000, 3898.573974609375000000,  ,  ,  70645.8 
spectral-norm ; 3703.978515625000000000, 3574.725585937500000000,  ,  ,  67383.6 
spectral-norm ; 3521.572570800781250000, 3371.978454589843750000,  ,  ,  73306.9 
spectral-norm ; 3291.493041992187500000, 3140.316894531250000000,  ,  ,  73280.4 
